Model,MTL,Tasks,Learning Rate,MTL HPO,Seed,Best Epoch,Best Validation Loss,NEXT_ACTIVITY,NEXT_TIME,REMAINING_TIME
CNN,CAGrad,"('next_activity', 'next_time', 'remaining_time')",0.001,0.9,42,16.0,15.4937,0.4528,1.5426,12.0624
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.001,1.0,2025,118.0,14.6349,0.515,1.6394,12.4675
CNN,CAGrad,"('next_activity', 'next_time', 'remaining_time')",0.001,0.5,2025,48.0,15.0549,0.413,1.6578,12.6111
CNN,IMTL,"('next_activity', 'next_time', 'remaining_time')",0.0001,None,123,107.0,14.5489,0.5264,1.5137,11.9205
CNN,GradNorm,"('next_activity', 'next_time', 'remaining_time')",0.001,1.5,42,34.0,15.5721,0.4129,1.5422,12.0318
CNN,CAGrad,"('next_activity', 'next_time', 'remaining_time')",0.001,0.3,42,21.0,15.5777,0.413,1.5444,12.0308
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.0001,15.0,123,140.0,14.7169,0.5155,1.5226,11.9939
CNN,CAGrad,"('next_activity', 'next_time', 'remaining_time')",0.001,0.7,2025,29.0,15.1713,0.413,1.6581,12.6106
CNN,CAGrad,"('next_activity', 'next_time', 'remaining_time')",0.0001,0.5,42,192.0,14.7962,0.5307,1.5235,11.6934
CNN,RLW,"('next_activity', 'next_time', 'remaining_time')",0.0001,None,2025,200.0,14.4231,0.5154,1.6378,12.3439
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.001,5.0,42,32.0,15.5803,0.4129,1.5426,12.0332
CNN,GLS,"('next_activity', 'next_time', 'remaining_time')",0.001,None,42,75.0,14.9038,0.5348,1.5262,11.8656
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.0001,10.0,123,136.0,14.8812,0.5141,1.5371,12.1066
CNN,RLW,"('next_activity', 'next_time', 'remaining_time')",0.001,None,123,27.0,15.5246,0.4105,1.5337,12.3443
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.001,15.0,123,16.0,15.4311,0.4105,1.5338,12.3453
CNN,GradNorm,"('next_activity', 'next_time', 'remaining_time')",0.0001,1.0,42,100.0,15.248,0.5027,1.5332,12.0068
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.001,3.0,123,109.0,15.175,0.4659,1.5448,12.3613
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.0001,3.0,123,175.0,14.7436,0.5215,1.5133,12.0167
CNN,DWA,"('next_activity', 'next_time', 'remaining_time')",0.0001,None,42,193.0,14.8345,0.5283,1.5261,11.7488
CNN,GLS,"('next_activity', 'next_time', 'remaining_time')",0.0001,None,123,123.0,14.5731,0.5281,1.5089,11.978
CNN,CAGrad,"('next_activity', 'next_time', 'remaining_time')",0.0001,0.3,2025,115.0,14.5109,0.5176,1.6359,12.4405
CNN,CAGrad,"('next_activity', 'next_time', 'remaining_time')",0.0001,0.9,123,178.0,14.7389,0.5221,1.5158,12.0728
CNN,RLW,"('next_activity', 'next_time', 'remaining_time')",0.001,None,42,18.0,15.6665,0.4129,1.5437,12.0433
CNN,CAGrad,"('next_activity', 'next_time', 'remaining_time')",0.001,0.5,123,15.0,15.4386,0.438,1.5337,12.4195
CNN,DWA,"('next_activity', 'next_time', 'remaining_time')",0.001,None,123,16.0,15.425,0.4105,1.5333,12.3457
CNN,GLS,"('next_activity', 'next_time', 'remaining_time')",0.001,None,2025,46.0,14.477,0.5289,1.634,12.4743
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.0001,5.0,123,105.0,14.8565,0.5183,1.5268,12.1088
CNN,DWA,"('next_activity', 'next_time', 'remaining_time')",0.001,None,2025,16.0,15.1543,0.413,1.6713,12.6609
CNN,Nash_MTL,"('next_activity', 'next_time', 'remaining_time')",0.0001,None,123,96.0,15.193,0.4522,1.5413,12.2563
CNN,CAGrad,"('next_activity', 'next_time', 'remaining_time')",0.0001,0.7,123,113.0,14.8056,0.5176,1.5186,12.1029
CNN,EW,"('next_activity', 'next_time', 'remaining_time')",0.001,None,2025,6.0,19.1403,0.4234,2.093,16.3316
CNN,GradNorm,"('next_activity', 'next_time', 'remaining_time')",0.0001,1.5,2025,90.0,14.7456,0.4974,1.6483,12.5759
CNN,GradNorm,"('next_activity', 'next_time', 'remaining_time')",0.001,1.0,123,27.0,15.5244,0.4105,1.5337,12.3445
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.0001,20.0,42,134.0,15.1171,0.5148,1.5302,11.8875
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.0001,20.0,123,192.0,14.6277,0.5201,1.5319,11.9161
CNN,EW,"('next_activity', 'next_time', 'remaining_time')",0.0001,None,123,135.0,14.6994,0.5151,1.54,11.8868
CNN,CAGrad,"('next_activity', 'next_time', 'remaining_time')",0.0001,0.1,42,199.0,14.9271,0.5238,1.5249,11.8699
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.001,1.0,123,12.0,15.362,0.4427,1.5337,12.3547
CNN,UW_O,"('next_activity', 'next_time', 'remaining_time')",0.0001,None,42,98.0,14.7466,0.5429,1.5198,11.7021
CNN,PCGrad,"('next_activity', 'next_time', 'remaining_time')",0.0001,None,2025,128.0,14.4576,0.5259,1.633,12.4061
CNN,GLS,"('next_activity', 'next_time', 'remaining_time')",0.0001,None,42,143.0,14.6532,0.5471,1.513,11.6993
CNN,GradNorm,"('next_activity', 'next_time', 'remaining_time')",0.0001,2.0,123,126.0,14.9976,0.5061,1.5379,12.2782
CNN,GradNorm,"('next_activity', 'next_time', 'remaining_time')",0.0001,1.5,123,133.0,14.9518,0.5115,1.5246,12.2464
CNN,UW_O,"('next_activity', 'next_time', 'remaining_time')",0.001,None,123,28.0,14.7774,0.5259,1.5261,12.1484
CNN,GradNorm,"('next_activity', 'next_time', 'remaining_time')",0.001,2.0,2025,13.0,15.1264,0.413,1.6606,12.6638
CNN,DWA,"('next_activity', 'next_time', 'remaining_time')",0.001,None,42,24.0,15.554,0.4129,1.543,12.0558
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.0001,20.0,2025,165.0,14.3742,0.5189,1.6385,12.3236
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.0001,10.0,2025,196.0,14.4081,0.5234,1.6401,12.2665
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.0001,7.0,42,173.0,14.9197,0.5205,1.525,11.762
CNN,GLS,"('next_activity', 'next_time', 'remaining_time')",0.0001,None,2025,112.0,14.3622,0.5345,1.6282,12.339
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.001,5.0,123,41.0,15.4128,0.4105,1.5333,12.3432
CNN,UW_O,"('next_activity', 'next_time', 'remaining_time')",0.0001,None,2025,130.0,14.2281,0.5371,1.6269,12.2529
CNN,UW_O,"('next_activity', 'next_time', 'remaining_time')",0.001,None,42,50.0,14.8798,0.5381,1.5205,11.8446
CNN,PCGrad,"('next_activity', 'next_time', 'remaining_time')",0.001,None,123,114.0,14.8878,0.5055,1.5132,12.168
CNN,GradNorm,"('next_activity', 'next_time', 'remaining_time')",0.0001,1.0,123,184.0,14.9263,0.5146,1.516,12.2081
CNN,CAGrad,"('next_activity', 'next_time', 'remaining_time')",0.001,0.3,123,21.0,15.4148,0.4105,1.5337,12.3479
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.001,20.0,123,4.0,15.657,0.4326,1.5523,12.5817
CNN,CAGrad,"('next_activity', 'next_time', 'remaining_time')",0.001,0.5,42,2.0,15.8932,0.421,1.6215,12.3282
CNN,GradDrop,"('next_activity', 'next_time', 'remaining_time')",0.001,None,2025,19.0,15.1699,0.413,1.658,12.6103
CNN,GradNorm,"('next_activity', 'next_time', 'remaining_time')",0.0001,2.0,42,91.0,15.239,0.5074,1.5285,12.0095
CNN,UW,"('next_activity', 'next_time', 'remaining_time')",0.001,None,42,32.0,15.6669,0.4129,1.5436,12.0524
CNN,CAGrad,"('next_activity', 'next_time', 'remaining_time')",0.001,0.1,42,24.0,15.4799,0.4508,1.5429,12.0468
CNN,CAGrad,"('next_activity', 'next_time', 'remaining_time')",0.001,0.9,123,9.0,15.4027,0.4433,1.5334,12.3944
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.0001,7.0,2025,131.0,14.5095,0.5132,1.6388,12.4523
CNN,GradNorm,"('next_activity', 'next_time', 'remaining_time')",0.001,0.5,42,12.0,15.6656,0.4131,1.5438,12.0441
CNN,EW,"('next_activity', 'next_time', 'remaining_time')",0.0001,None,42,119.0,15.0991,0.5141,1.5291,11.8792
CNN,DWA,"('next_activity', 'next_time', 'remaining_time')",0.0001,None,2025,162.0,14.4886,0.5246,1.6374,12.4176
CNN,GradNorm,"('next_activity', 'next_time', 'remaining_time')",0.0001,0.5,42,196.0,15.0788,0.523,1.5216,11.9372
CNN,GradNorm,"('next_activity', 'next_time', 'remaining_time')",0.001,1.0,42,39.0,15.5451,0.4129,1.5433,12.0544
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.0001,5.0,2025,153.0,14.4552,0.5219,1.6322,12.3587
CNN,GradNorm,"('next_activity', 'next_time', 'remaining_time')",0.0001,1.0,2025,98.0,14.6923,0.5078,1.6393,12.5729
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.0001,15.0,42,145.0,14.9358,0.5249,1.5303,11.7876
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.001,3.0,2025,22.0,15.1585,0.413,1.6582,12.6083
