MTL,Duration
STL,308.279
EW,3374.498
DWA,5434.042
RLW,4789.14
UW,6083.248
UW_SO,3036.849
UW_O,1639.422
GLS,3684.533
GradDrop,1390.782
CAGrad,3123.393
PCGrad,1924.686
GradNorm,2069.19
IMTL,2283.171
Nash_MTL,817.344
