dataset,MTL,task_pair,risk_prop,Average_degree,average_magnitude
P2P,Scalarization,next_activity_vs_next_time,0.04000013733952734,79.03444079621221,2.3962748742289617
P2P,Scalarization,next_activity_vs_remaining_time,0.6482254016322803,99.63141843016335,2.5903560252105726
P2P,Scalarization,next_time_vs_remaining_time,0.6293892854567741,91.89306691479408,4.165554646077982
P2P,UW_SO,next_activity_vs_next_time,0.2855481506797296,89.87620707910078,2.223977247803825
P2P,UW_SO,next_activity_vs_remaining_time,0.9111604769499507,105.19133478040173,5.045493152804403
P2P,UW_SO,next_time_vs_remaining_time,0.7456804891015417,94.50281143220782,3.9453395905524093
P2P,DWA,next_activity_vs_next_time,0.20018686073957515,86.44603998024297,2.174483233975191
P2P,DWA,next_activity_vs_remaining_time,0.8080743509047994,105.68715386576997,4.256528637586668
P2P,DWA,next_time_vs_remaining_time,0.7280438630999213,94.15505097270587,4.182660773300633
P2P,RLW,next_activity_vs_next_time,0.19390572390572391,86.79715456245962,1.986034593867121
P2P,RLW,next_activity_vs_remaining_time,0.685,100.11614871132436,4.728724425561023
P2P,RLW,next_time_vs_remaining_time,0.425084175084175,88.73516366407603,4.609979871340535
P2P,GradDrop,next_activity_vs_next_time,0.18006993006993008,92.54125527857705,1.765824709976812
P2P,GradDrop,next_activity_vs_remaining_time,0.6761849261849262,92.48082181541747,8.352256178027366
P2P,GradDrop,next_time_vs_remaining_time,0.4619269619269619,90.26210532880658,8.811959077507185
P2P,CAGrad,next_activity_vs_next_time,0.3465608465608465,91.35087748678082,2.377027909393357
P2P,CAGrad,next_activity_vs_remaining_time,0.9011028653885796,110.10228489225733,6.0030624989284656
P2P,CAGrad,next_time_vs_remaining_time,0.747423211708926,94.01079998441917,4.0407085719813205
P2P,GradNorm,next_activity_vs_next_time,0.1707940752058399,96.66455794540478,1.6635782889745652
P2P,GradNorm,next_activity_vs_remaining_time,0.7066993464052288,99.98902484526502,5.3942067597253915
P2P,GradNorm,next_time_vs_remaining_time,0.8335349291231644,98.33371697756046,5.0856992955335025
P2P,Nash_MTL,next_activity_vs_next_time,0.3680926916221034,91.81238963302944,2.127120105479006
P2P,Nash_MTL,next_activity_vs_remaining_time,0.9067736185383245,102.8677915545757,5.040306860701961
P2P,Nash_MTL,next_time_vs_remaining_time,0.396078431372549,87.92121395502835,7.428526357296494
P2P,IMTL,next_activity_vs_next_time,0.10407741738066095,97.34349066740283,1.5165532535235797
P2P,IMTL,next_activity_vs_remaining_time,0.2971236230110159,98.7398428054135,2.232087247473729
P2P,IMTL,next_time_vs_remaining_time,0.018168604651162792,68.90458991954584,2.173047820147618
P2P,UW_O,next_activity_vs_next_time,0.5704695329555353,94.17536755669785,3.4710926181408372
P2P,UW_O,next_activity_vs_remaining_time,0.6916816541676564,94.60059300555245,17.517821803828326
P2P,UW_O,next_time_vs_remaining_time,0.4158154897236644,87.91908025915255,5.59549798640047
P2P,EW,next_activity_vs_next_time,0.21428571428571427,87.55832898239241,2.197041005406525
P2P,EW,next_activity_vs_remaining_time,0.8511904761904763,103.19499928149581,4.733491615139184
P2P,EW,next_time_vs_remaining_time,0.746031746031746,95.8747550914665,3.596601016711348
P2P,GLS,next_activity_vs_next_time,0.7524496860881301,98.29963814216894,3.7325216924526674
P2P,GLS,next_activity_vs_remaining_time,0.9495687378982574,99.11092477949133,17.197359885366506
P2P,GLS,next_time_vs_remaining_time,0.5077891216335152,88.64832501003275,5.233592746174068
P2P,PCGrad,next_activity_vs_next_time,0.3607203751065644,93.3958326165299,2.203717890155236
P2P,PCGrad,next_activity_vs_remaining_time,0.8814151747655584,106.43226197049118,5.489154529481373
P2P,PCGrad,next_time_vs_remaining_time,0.6264919011082694,91.9327253742671,4.216658742333773
P2P,UW,next_activity_vs_next_time,0.728255404725993,100.00492827657702,3.3626740224552525
P2P,UW,next_activity_vs_remaining_time,0.8886375062845651,109.00105038529408,11.346114264594972
P2P,UW,next_time_vs_remaining_time,0.6254399195575666,92.3958404029426,4.936122215805891
HelpDesk,UW_SO,next_activity_vs_next_time,0.553611100384858,92.2542516294481,5.303110038044714
HelpDesk,UW_SO,next_activity_vs_remaining_time,0.6456397780952748,94.25672495418468,5.862240572612774
HelpDesk,UW_SO,next_time_vs_remaining_time,0.007017543859649123,112.07635185233875,1.1887411566990267
HelpDesk,DWA,next_activity_vs_next_time,0.5632288113311276,93.45274942829083,3.9815885125258945
HelpDesk,DWA,next_activity_vs_remaining_time,0.5840973580962722,93.31556261861283,4.297894843356814
HelpDesk,DWA,next_time_vs_remaining_time,0.004975124378109453,113.9489806440497,1.2180731439777677
HelpDesk,RLW,next_activity_vs_next_time,0.5326302891520283,91.41658903952536,7.300730761480385
HelpDesk,RLW,next_activity_vs_remaining_time,0.4195325760543152,86.47557561278741,7.634631691702757
HelpDesk,RLW,next_time_vs_remaining_time,0.02412546325589804,100.00378478423504,1.8583076233771745
HelpDesk,GradDrop,next_activity_vs_next_time,0.5450956450956451,90.94165046175151,5.6637254319124795
HelpDesk,GradDrop,next_activity_vs_remaining_time,0.7447971781305114,93.27111045174128,6.443632530948222
HelpDesk,GradDrop,next_time_vs_remaining_time,0.02424365757699091,98.2804459711888,2.1015778416792394
HelpDesk,CAGrad,next_activity_vs_next_time,0.7054531490015362,96.84524450368792,9.4975092832141
