MTL,Duration
STL,1073.054
EW,791.611
DWA,900.184
RLW,795.116
UW,864.975
UW_SO,1202.943
UW_O,721.914
GLS,813.647
GradDrop,611.284
CAGrad,1488.504
PCGrad,1248.813
GradNorm,917.757
IMTL,829.099
Nash_MTL,965.865
