Model,MTL,Tasks,Learning Rate,MTL HPO,Seed,Best Epoch,Best Validation Loss,NEXT_ACTIVITY,NEXT_TIME,REMAINING_TIME
CNN,GradDrop,"('next_activity', 'next_time', 'remaining_time')",0.001,None,42,40,26.1544,0.7741,6.8419,18.6448
CNN,CAGrad,"('next_activity', 'next_time', 'remaining_time')",0.001,0.3,2025,32,26.9822,0.8068,6.8449,19.0118
CNN,GradNorm,"('next_activity', 'next_time', 'remaining_time')",0.001,1.5,42,23,26.3718,0.8026,6.8456,19.0451
CNN,GLS,"('next_activity', 'next_time', 'remaining_time')",0.001,None,2025,27,27.3768,0.8103,6.895,19.3648
CNN,DWA,"('next_activity', 'next_time', 'remaining_time')",0.001,None,123,27,26.7921,0.7739,6.718,18.9101
CNN,UW_O,"('next_activity', 'next_time', 'remaining_time')",0.001,None,123,61,26.9573,0.8166,6.8274,19.2106
CNN,GradNorm,"('next_activity', 'next_time', 'remaining_time')",0.001,0.5,123,45,26.6584,0.8077,6.8794,19.1182
CNN,CAGrad,"('next_activity', 'next_time', 'remaining_time')",0.001,0.7,123,62,26.5637,0.8121,6.7189,18.6392
CNN,CAGrad,"('next_activity', 'next_time', 'remaining_time')",0.001,0.7,42,25,26.6523,0.8058,6.8308,19.5052
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.001,15.0,123,37,26.7084,0.7723,6.7658,18.839
CNN,CAGrad,"('next_activity', 'next_time', 'remaining_time')",0.001,0.3,123,35,26.5985,0.8039,6.7397,18.8387
CNN,GradNorm,"('next_activity', 'next_time', 'remaining_time')",0.001,2.0,123,25,26.8375,0.7915,6.9283,18.9817
CNN,EW,"('next_activity', 'next_time', 'remaining_time')",0.001,None,2025,28,26.8539,0.7723,6.8298,18.6422
CNN,RLW,"('next_activity', 'next_time', 'remaining_time')",0.001,None,123,43,26.7183,0.7693,6.7435,18.837
CNN,PCGrad,"('next_activity', 'next_time', 'remaining_time')",0.001,None,42,52,25.9202,0.7906,6.6934,18.731
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.001,10.0,42,22,26.4219,0.7779,6.7456,19.049
CNN,IMTL,"('next_activity', 'next_time', 'remaining_time')",0.001,None,2025,20,27.2146,0.7975,6.8435,19.1843
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.001,7.0,123,44,26.6012,0.7802,6.7897,18.7427
CNN,GradNorm,"('next_activity', 'next_time', 'remaining_time')",0.001,0.5,42,46,26.1433,0.8074,6.7134,19.0218
CNN,CAGrad,"('next_activity', 'next_time', 'remaining_time')",0.001,0.1,42,35,26.0913,0.7877,6.7401,18.7687
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.001,20.0,123,45,26.6333,0.7814,6.8681,18.7216
CNN,Nash_MTL,"('next_activity', 'next_time', 'remaining_time')",0.001,None,2025,21,27.2756,0.775,6.8369,19.0589
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.001,7.0,2025,48,26.8306,0.7888,6.8737,18.5788
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.001,15.0,42,48,26.0435,0.7788,6.6861,18.8689
CNN,UW,"('next_activity', 'next_time', 'remaining_time')",0.001,None,2025,39,26.9777,0.8133,6.8706,18.8855
CNN,PCGrad,"('next_activity', 'next_time', 'remaining_time')",0.001,None,2025,28,26.6913,0.787,6.9116,18.5234
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.001,1.0,123,53,26.5039,0.8091,6.6999,18.6199
CNN,CAGrad,"('next_activity', 'next_time', 'remaining_time')",0.001,0.9,123,25,27.2099,0.8065,7.0119,19.4906
CNN,PCGrad,"('next_activity', 'next_time', 'remaining_time')",0.001,None,123,45,26.594,0.7981,6.7267,18.7441
CNN,GradNorm,"('next_activity', 'next_time', 'remaining_time')",0.001,1.5,123,85,26.4581,0.8064,6.5648,18.7826
CNN,GradNorm,"('next_activity', 'next_time', 'remaining_time')",0.001,2.0,2025,61,26.5418,0.8064,6.676,18.4289
CNN,EW,"('next_activity', 'next_time', 'remaining_time')",0.001,None,42,52,26.0459,0.7839,6.7848,18.8756
CNN,RLW,"('next_activity', 'next_time', 'remaining_time')",0.001,None,2025,11,27.4567,0.7563,6.9681,19.2717
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.001,3.0,2025,28,26.8145,0.7858,6.8544,18.6705
CNN,IMTL,"('next_activity', 'next_time', 'remaining_time')",0.001,None,123,34,26.7814,0.8095,6.6306,19.2143
CNN,EW,"('next_activity',)",0.001,None,42,24,1.6625,0.4667,,
CNN,EW,"('next_activity',)",0.001,None,2025,38,1.63,0.4747,,
CNN,EW,"('next_activity',)",0.001,None,123,31,1.6341,0.4762,,
CNN,EW,"('next_time',)",0.001,None,123,26,6.6952,,6.7719,
CNN,EW,"('next_time',)",0.001,None,2025,27,6.7298,,6.9172,
CNN,EW,"('next_time',)",0.001,None,42,17,6.475,,6.9143,
CNN,EW,"('remaining_time',)",0.001,None,123,45,19.0365,,,18.6692
CNN,EW,"('remaining_time',)",0.001,None,2025,36,19.4093,,,18.6553
CNN,EW,"('remaining_time',)",0.001,None,42,17,19.1901,,,19.1124
