Model,MTL,Tasks,Learning Rate,MTL HPO,Seed,Best Epoch,Best Validation Loss,NEXT_ACTIVITY,NEXT_TIME,REMAINING_TIME
CNN,GradDrop,"('next_activity', 'next_time', 'remaining_time')",0.001,None,42,68,7.611,0.83,1.255,6.1004
CNN,CAGrad,"('next_activity', 'next_time', 'remaining_time')",0.001,0.3,2025,53,7.9541,0.8466,1.104,5.8738
CNN,GradNorm,"('next_activity', 'next_time', 'remaining_time')",0.001,1.5,42,59,7.7147,0.8315,1.2254,6.2502
CNN,GLS,"('next_activity', 'next_time', 'remaining_time')",0.001,None,2025,27,8.4652,0.8576,1.1323,6.3835
CNN,DWA,"('next_activity', 'next_time', 'remaining_time')",0.001,None,123,39,7.6836,0.8542,1.117,6.3493
CNN,UW_O,"('next_activity', 'next_time', 'remaining_time')",0.001,None,123,20,8.0649,0.8484,1.1243,6.8335
CNN,GradNorm,"('next_activity', 'next_time', 'remaining_time')",0.001,0.5,123,24,7.8595,0.8524,1.1163,6.6687
CNN,CAGrad,"('next_activity', 'next_time', 'remaining_time')",0.001,0.7,123,21,7.9554,0.8605,1.1459,6.6524
CNN,CAGrad,"('next_activity', 'next_time', 'remaining_time')",0.001,0.7,42,35,7.9853,0.8219,1.2801,6.5216
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.001,15.0,123,39,7.7162,0.8513,1.1222,6.4484
CNN,CAGrad,"('next_activity', 'next_time', 'remaining_time')",0.001,0.3,123,24,7.8678,0.8513,1.1176,6.7019
CNN,GradNorm,"('next_activity', 'next_time', 'remaining_time')",0.001,2.0,123,21,7.825,0.8501,1.112,6.5486
CNN,EW,"('next_activity', 'next_time', 'remaining_time')",0.001,None,2025,72,7.7511,0.8484,1.1154,5.7111
CNN,RLW,"('next_activity', 'next_time', 'remaining_time')",0.001,None,123,67,7.6424,0.849,1.1122,6.2903
CNN,PCGrad,"('next_activity', 'next_time', 'remaining_time')",0.001,None,42,12,8.098,0.8202,1.2998,6.6549
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.001,10.0,42,55,7.7049,0.8266,1.2653,6.2346
CNN,IMTL,"('next_activity', 'next_time', 'remaining_time')",0.001,None,2025,19,8.418,0.8434,1.1325,6.3492
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.001,7.0,123,42,7.7273,0.8547,1.1617,6.2849
CNN,GradNorm,"('next_activity', 'next_time', 'remaining_time')",0.001,0.5,42,17,8.076,0.8338,1.288,6.6615
CNN,CAGrad,"('next_activity', 'next_time', 'remaining_time')",0.001,0.1,42,15,7.9751,0.8225,1.2889,6.5457
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.001,20.0,123,57,7.5383,0.8547,1.1337,6.1826
CNN,Nash_MTL,"('next_activity', 'next_time', 'remaining_time')",0.001,None,2025,56,7.9111,0.8519,1.1511,5.8351
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.001,7.0,2025,40,8.1926,0.8455,1.0986,6.0896
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.001,15.0,42,63,7.7202,0.8286,1.2235,6.2555
