Model,MTL,Tasks,Learning Rate,MTL HPO,Seed,Best Epoch,Best Validation Loss,NEXT_ACTIVITY,NEXT_TIME,REMAINING_TIME
CNN,GradDrop,"('next_activity', 'next_time', 'remaining_time')",0.001,None,42,12,17.6709,0.4155,0.9685,15.3348
CNN,CAGrad,"('next_activity', 'next_time', 'remaining_time')",0.001,0.3,2025,41,15.7814,0.4317,1.1455,15.0124
CNN,GradNorm,"('next_activity', 'next_time', 'remaining_time')",0.001,1.5,42,27,17.4063,0.4352,0.9614,14.1846
CNN,GLS,"('next_activity', 'next_time', 'remaining_time')",0.001,None,2025,48,17.3807,0.4008,1.1915,14.3994
CNN,DWA,"('next_activity', 'next_time', 'remaining_time')",0.001,None,123,9,22.485,0.3453,1.2194,18.0034
CNN,UW_O,"('next_activity', 'next_time', 'remaining_time')",0.001,None,123,20,17.2906,0.446,1.0931,13.5874
CNN,GradNorm,"('next_activity', 'next_time', 'remaining_time')",0.001,0.5,123,9,22.5097,0.3438,1.1636,18.0002
CNN,CAGrad,"('next_activity', 'next_time', 'remaining_time')",0.001,0.7,123,24,19.6407,0.4406,1.2005,15.6061
CNN,CAGrad,"('next_activity', 'next_time', 'remaining_time')",0.001,0.7,42,4,19.4512,0.4275,1.0964,16.263
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.001,15.0,123,9,22.4835,0.3511,1.193,17.9489
CNN,CAGrad,"('next_activity', 'next_time', 'remaining_time')",0.001,0.3,123,9,22.3621,0.3503,1.1904,17.937
CNN,GradNorm,"('next_activity', 'next_time', 'remaining_time')",0.001,2.0,123,21,22.3836,0.4182,1.1705,17.5545
CNN,EW,"('next_activity', 'next_time', 'remaining_time')",0.001,None,2025,27,21.8109,0.3731,1.3161,17.9844
CNN,RLW,"('next_activity', 'next_time', 'remaining_time')",0.001,None,123,26,21.1772,0.4101,1.226,16.7121
CNN,PCGrad,"('next_activity', 'next_time', 'remaining_time')",0.001,None,42,8,18.7673,0.4294,1.0949,15.6541
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.001,10.0,42,22,16.5677,0.4329,0.8825,14.1445
CNN,IMTL,"('next_activity', 'next_time', 'remaining_time')",0.001,None,2025,46,16.3022,0.4086,1.1931,14.1246
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.001,7.0,123,21,22.4161,0.4101,1.2182,17.5153
CNN,GradNorm,"('next_activity', 'next_time', 'remaining_time')",0.001,0.5,42,11,18.9404,0.4128,1.0101,15.8587
CNN,CAGrad,"('next_activity', 'next_time', 'remaining_time')",0.001,0.1,42,8,18.4434,0.4367,0.9855,15.4893
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.001,20.0,123,9,22.4276,0.343,1.2132,17.9829
CNN,Nash_MTL,"('next_activity', 'next_time', 'remaining_time')",0.001,None,2025,55,13.8229,0.4105,1.1645,11.2721
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.001,7.0,2025,22,21.7909,0.3785,1.3046,18.1909
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.001,15.0,42,12,18.9776,0.4078,0.9474,16.246
CNN,UW,"('next_activity', 'next_time', 'remaining_time')",0.001,None,2025,43,19.7411,0.414,1.3068,15.927
CNN,PCGrad,"('next_activity', 'next_time', 'remaining_time')",0.001,None,2025,22,17.4371,0.4244,1.1754,14.9608
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.001,1.0,123,9,22.4438,0.3426,1.197,17.9757
CNN,CAGrad,"('next_activity', 'next_time', 'remaining_time')",0.001,0.9,123,77,16.6975,0.4626,1.1113,12.6445
CNN,PCGrad,"('next_activity', 'next_time', 'remaining_time')",0.001,None,123,7,22.508,0.4221,1.2067,18.1959
CNN,GradNorm,"('next_activity', 'next_time', 'remaining_time')",0.001,1.5,123,15,22.5221,0.434,1.2277,17.7687
CNN,GradNorm,"('next_activity', 'next_time', 'remaining_time')",0.001,2.0,2025,22,21.9324,0.3692,1.4162,18.0652
CNN,EW,"('next_activity', 'next_time', 'remaining_time')",0.001,None,42,28,16.4943,0.4178,0.9266,13.7124
CNN,RLW,"('next_activity', 'next_time', 'remaining_time')",0.001,None,2025,22,20.8379,0.3773,1.2628,17.4927
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.001,3.0,2025,111,13.8868,0.4182,1.1837,11.5729
CNN,IMTL,"('next_activity', 'next_time', 'remaining_time')",0.001,None,123,59,16.0596,0.4645,1.0994,12.6841
CNN,EW,"('next_activity',)",0.001,None,42,25,66.2469,0.3059,,
CNN,EW,"('next_activity',)",0.001,None,2025,14,32.1584,0.314,,
CNN,EW,"('next_activity',)",0.001,None,123,43,70.4958,0.3125,,
CNN,EW,"('next_time',)",0.001,None,123,9,0.9266,,1.0616,
CNN,EW,"('next_time',)",0.001,None,2025,12,1.0532,,1.1478,
CNN,EW,"('next_time',)",0.001,None,42,24,0.8831,,0.832,
CNN,EW,"('remaining_time',)",0.001,None,123,34,15.5077,,,14.1872
CNN,EW,"('remaining_time',)",0.001,None,2025,26,16.0668,,,16.2371
CNN,EW,"('remaining_time',)",0.001,None,42,8,17.1338,,,17.871
