MTL,Duration
STL,3520.9660000000003
EW,12832.392
DWA,8442.004
RLW,11990.136
UW,5372.009
UW_SO,7529.839
UW_O,4928.658
GLS,4400.724
GradDrop,9874.476
CAGrad,14137.889
PCGrad,13047.903
GradNorm,8579.666
IMTL,7063.822
Nash_MTL,8034.941
