Model,MTL,Tasks,Learning Rate,MTL HPO,Seed,Best Epoch,Best Validation Loss,NEXT_ACTIVITY,NEXT_TIME,REMAINING_TIME
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.0001,15.0,123,83.0,7.8784,0.7738,0.5923,6.5705
CNN,CAGrad,"('next_activity', 'next_time', 'remaining_time')",0.001,0.7,2025,20.0,8.2389,0.779,0.6197,6.9435
CNN,CAGrad,"('next_activity', 'next_time', 'remaining_time')",0.0001,0.5,42,53.0,8.0581,0.7767,0.6111,6.7908
CNN,RLW,"('next_activity', 'next_time', 'remaining_time')",0.0001,None,2025,199.0,7.7424,0.7748,0.6172,6.4252
CNN,IMTL,"('next_activity', 'next_time', 'remaining_time')",0.001,None,2025,38.0,8.1684,0.7859,0.6093,6.9094
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.001,5.0,42,22.0,8.1912,0.7787,0.6371,6.9005
CNN,GLS,"('next_activity', 'next_time', 'remaining_time')",0.001,None,42,21.0,8.2091,0.7785,0.6134,6.9574
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.0001,10.0,123,134.0,7.7699,0.775,0.5903,6.4704
CNN,RLW,"('next_activity', 'next_time', 'remaining_time')",0.001,None,123,47.0,8.2324,0.7731,0.6043,6.8888
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.001,15.0,123,27.0,8.149,0.7798,0.6065,6.8391
CNN,GradNorm,"('next_activity', 'next_time', 'remaining_time')",0.0001,1.0,42,178.0,7.7868,0.7751,0.6076,6.5391
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.001,3.0,123,27.0,8.1683,0.7764,0.5982,6.8593
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.0001,3.0,123,135.0,7.7973,0.7768,0.5871,6.4843
CNN,DWA,"('next_activity', 'next_time', 'remaining_time')",0.0001,None,42,131.0,7.7656,0.7708,0.6148,6.4791
CNN,GLS,"('next_activity', 'next_time', 'remaining_time')",0.0001,None,123,58.0,8.1359,0.7822,0.5865,6.8409
